label,sms
spam,"Congratulations are in order! You've scored 2 mobile 3G Videophones. Make a prompt call to 09061744553! Immerse yourself in video chats with your friends, enjoy Java games, download polyphonic melodies, and wave goodbye to line rental. BX420. IP4. 5WE. 150pm."
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
spam,Thanks for voting! Sing like a star with Karaoke on your mobile. Reply with 'SING' to grab your FREE link.
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
spam,"We've missed your calls. For a hot chat, phone 01223585334. For my revealing pictures, text PIX to 8552. To stop, text STOP to 8552. Cheers, SAM xxx."
ham,"Alright, we're all set here, text the man"
ham,If you're not in my car in an hour and a half I'm going apeshit
ham,"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?"
spam,"Vodafone customers, take note! Numbers that conclude with 4882 are eligible for a ?50 award. If your number is a match, call 09064019014 to redeem your ?50 reward."
spam,"Make your garden summer-ready with a FREE set of bulbs and seeds, worth ?3.50, available with The Scotsman on Saturday. Opt-out option available at notxt.co.uk."
spam,Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers
spam,"Personal Notice: Your account from 2003 indicates 800 unclaimed S.I.M. points. To redeem, phone 08715203652, using Identifier Code: 42810, valid until 29/10/0."
ham,Yes i thought so. Thanks.
spam,Vodafone numbers ending in 7548 have been chosen today to earn a $350 reward. Confirm your matching number by calling 08712300220 and mentioning claim code 4041. Normal rates apply.
ham,You didnt complete your gist oh.
ham,Tell dear what happen to you. Why you talking to me like an alian
ham,Cool. Do you like swimming? I have a pool and jacuzzi at my house.
ham,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.
spam,"Be quick and joyful, not slow! It's the exclusive gay chat service where you can share photos. Dial 08718730666 (10p/min)."
ham,U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?
ham,If he started searching he will get job in few days.he have great potential and talent.
ham,Is xy in ur car when u picking me up?
ham,Yesterday its with me only . Now am going home.
spam,"It's CLAIRE, and I'm having a dull time alone. How about you come over tonight? Call me at 09099725823, looking forward to it. Love, CLAIRE xx. Calls ?/min, more for mobiles, EMSPOBox45PO139WA."
ham,I'm home. Doc gave me pain meds says everything is fine.
spam,Owned your phone for 11 months or longer? You're qualified to upgrade to the newest color mobiles with a camera at no cost! Contact The Mobile Update Company for free at 08002986030.
spam,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!
ham,"Sir, waiting for your letter."
ham,Didn't you get hep b immunisation in nigeria.
ham,Sindu got job in birla soft ..
spam,"There's a Secret Admirer who can't wait to reach out to you. Discover who it is and learn who thinks you're special. Call 09065171142. To stop SMS, reply with ""STOPSMS-08."""
ham,No. Thank you. You've been wonderful
spam,Valentines Day Special! Win over Â£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201
spam,"Want a good time? Engage in CHIT-CHAT on your mobile! Just text CHAT to number 8883, CM PO Box 4217, London W1A 6ZF. 16+ years, 118p for each message."
ham,Our Prashanthettan's mother passed away last night. pray for her and family.
ham,I am not having her number sir
ham,have got * few things to do. may be in * pub later.
ham,Just wanted to say holy shit you guys weren't kidding about this bud
spam,"How about upgrading to a new Video phone? Enjoy 600 network minutes, 400 Video calls, plus 5 weekly downloads. Free delivery by tomorrow. Dial 08002888812 or reply now."
spam,"As a valued SIM subscriber, you're selected for an exclusive Bonus. To receive it, send 'OK' to 88600. Message charge is 150p, offer ends on 30 April."
spam,"Dear Voucher Holder, this week's offer is waiting for you! Simply go to http://www.e-tlp.co.uk/expressoffer on your PC. Be sure to read the terms and conditions. To opt out of texts, text ""STOP"" to 80062."
spam,Your luck is in! Call our customer service team on FREEPHONE 0808 145 4742 from 9 am to 11 pm to collect your certain prize of ?000 cash or perhaps a ?000 prize.
spam,"Hi sweetie, think you've forgotten me? Be aware, scammers are becoming more cunning. It appears to be a standard Vodafone number, but a response incurs additional premium rate messages or subscriptions. Also, they use other numbers. Stay alert"
spam,"Ready your garden for summer by receiving a FREE collection of summer bulbs and seeds worth Â£33.50. This special offer is accessible through The Scotsman this Saturday only. If you wish to opt out, simply go to notxt.co.uk."
ham,Thank you baby! I cant wait to taste the real thing...
spam,"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!"
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a Â£2000 prize GUARANTEED. Call 09066358361 from land line. Claim Y87. Valid 12hrs only
spam,"Avail double minutes and text messages for the next six months, and obtain a complimentary Bluetooth headset on the Orange network. This promotion is open to Sony, Nokia, and Motorola phone users. You can get in touch with MobileUpd8 at 08000839402, or choose the opt-out code N9DX."
spam,"An admirer is eager to make secret contact with you. Curious about who thinks you're special? Call 09065171142 and reveal the identity. To stop SMS, reply with ""STOPSMS-08."""
ham,So u wan 2 come for our dinner tonight a not?
ham,"What i mean was i left too early to check, cos i'm working a 9-6."
spam,"Boost your call volume by up to 50% at no extra network charge, starting next month. Call 9061100010 to enable. Details on Wire3.net, PoBox84, M26 3UZ. ?.50/min, higher for mobiles."
spam,"You've struck luck! Win a Nokia 6230 and a bonus digital camera from our FREE auction. To get involved, send 'NOKIA' to 83383. Post: POBOX114/14TCR/W1, must be 16 or older."
spam,"Moby Pub Quiz challenge! Secure a ?00 prize for High Street if you can name the next Duchess of Cornwall. Send her first name to 82277. To cancel, text STOP. Cost is ?.50. Service Provider: Arrow 008704050406."
ham,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?"
spam,"Welcome aboard! For commencement, please send us your AGE and GENDER, like '24M'."
spam,100 dating service cal;l 09064012103 box334sk38ch
ham,Well she's in for a big surprise!
spam,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
spam,"LookAtMe! Appreciates your video clip purchase, costing you 35p. Feeling creative? Try sending your own video as an MMS to 32323."
spam,"Remember, you're free to make unlimited FREE Requests at 1stchoice.co.uk. Need more info? Dial 08707808226."
spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic"
ham,Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota
ham,Bbq this sat at mine from 6ish. Ur welcome 2 come
spam,Valentines Day Special! Win over Â£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
spam,"Important notice! Your cell number 077xxx has won a ?,000 prize for bonus callers on 02/06/03. This message marks our second attempt to contact you. Call 09066362206 as soon as possible! BOX97N7QP, charge 150PPM."
spam,"Six opportunities to win cash prizes ranging from ?00 to ?0,000! Simply text CSH11 to 87575. Costs ?50/day for 6 days, 16+ only. Ts&Cs apply. For details, reply HL."
ham,I've sent Ã¼ my part..
ham,Leave it de:-). Start Prepare for next:-)..
spam,You've been granted a City Break and a chance to WIN a ?00 Summer Shopping spree every week! Text STORE to 88039 to participate. It's a skill-based game with terms and conditions. Age 16 and above. Subscription costs ?.50 per week. Details at TsCs087147403231Winawk!
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
ham,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already"
spam,"As one of our registered subscribers, you have the opportunity to enter a draw for a 100 GB gift voucher by replying with ""ENTER."" If you no longer wish to receive messages, send ""STOP."""
spam,"Can you make a call this instant? Iï¿½d like to talk about setting up a meet. Dial me at 09096102316. You can come here tomorrow. Yours, JANE xx. Calls at ?/min, additional"
spam,Get a free pass to participate in a weekly competition and stand a chance to win an iPod. Just text POD to 80182 to enter (standard text rate). Remember to check the terms and conditions. Call 08452810073 for details. 18+
spam,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE
spam,Someone who holds you in high regard secretly wishes to get in touch with you. Call 09058094599 to unveil the identity of this admirer.
spam,"Unsubscription successful. Discover numerous sexy babes or hunks for your phone. Visit http://gotbabes.co.uk, no subscription needed."
spam,"Enjoy your first week absolutely FREE! Get the No1 Nokia tone for your mobile every week by texting NOKIA to 8077. Don't forget to share the news with your friends. Find additional information at www.getzed.co.uk. Postal address: POBox 36504, W45WQ. Suitable for individuals aged 16 and above. Normal charge: 150p per tone."
spam,"Your B4U voucher for the week of 27/03 is 'MARSMS'. Visit www.B4Utele.com for discounted credit. To stop, reply with 'Stop'. For assistance, call customer care at 08717168528."
ham,Ugh just got outta class
ham,V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-)
spam,"Fancy a new Video phone? Includes 600 minutes (any network), 400 inclusive Video calls, and 5 downloads per week. Get it delivered free tomorrow. Phone 08002888812 or reply NOW."
ham,Aight sorry I take ten years to shower. What's the plan?
spam,"Join the Moby Pub Quiz! Win a ?00 High Street voucher by knowing the new Duchess of Cornwall's first name. Text it to 82277. To unsubscribe, text STOP. Cost: ?.50. SP Arrow 008704050406."
spam,Reach out to us at 08714712388 during our operating hours of 10 am to 7 pm. The call is priced at 10p.
ham,Only 2% students solved this CAT question in 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.
ham,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?
ham,Well good morning mr . Hows london treatin' ya treacle?
ham,Pansy! You've been living in a jungle for two years! Its my driving you should be more worried about!
spam,"Keep the exceptional Nokia N-Gage game deck from Club Nokia by visiting www.cnupdates.com/newsletter. If you wish to opt out of alerts, reply with the word OUT."
spam,"Attention Vodafone customers! If the last four digits of your number are 1225, you're eligible for a ?0 award. Give us a call at 08712300220 and provide claim code 3100 to collect your prize. Standard rates are in effect."
spam,"We hope you're enjoying the new content. To unsubscribe, just text 'stop' to 61610. For queries, ring 087124006024 at a rate of 50p. Provided by tones2you.co.uk."
spam,"One new voicemail has been received. To check it, please call 08719181513."
ham,Fine i miss you very much.
spam,"Summer's arrived! Interested in chatting or flirting with attractive singles nearby? Reply with SUMMER for a match-up. Joining is free, text STOP to opt-out. Need help? Call 08714742804."
ham,Hows the pain dear?y r u smiling?
ham,Can. Dunno wat to get 4 her...
ham,"Goodnight, sleep well da please take care pa. Please."
spam,"Immediate action required! Your mobile number 077xxx has secured a ?,000 Bonus Caller Prize dated 02/06/03. This is our second effort to contact you. Urgently dial 09066362206! BOX97N7QP, cost 150ppm."
ham,This is ur face test ( 1 2 3 4 5 6 7 8 9  &lt;#&gt;  ) select any number i will tell ur face astrology.... am waiting. quick reply...
spam,Discover that more people in your area are engaging in dogging activities. Join like-minded individuals by calling 09090204448. Why not organize one yourself? There's an event this evening. ?.50 per minute. APN LS278BB.
ham,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.
ham,i am seeking a lady in the street and a freak in the sheets. Is that you?
ham,Ok i msg u b4 i leave my house.
spam,Explore the link at http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=true for an exciting C Ringtone.
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.
spam,"Your victory is assured! You have the chance to claim the latest Nokia Phone, a 40GB iPod MP3 player, or a ?00 cash prize. To secure your prize, text ""COLLECT"" to 83355. This exclusive deal is provided by IBH Ltd in London. Message rates are standard at 150p per message received. Don't miss out!"
spam,"Alert: You have won ?000 or a Guaranteed Caller Prize. This is the final call for you to claim! Dial 09071517866 immediately. Charge: 150ppm, POBox10183, B64XE."
ham,Am watching house ??very entertaining ??am getting the whole hugh laurie thing ??even with the stick ??indeed especially with the stick.
spam,IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!
ham,"And that is the problem. You walk around in ""julianaland"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad."
spam,"You've received a new voicemail. To check it, call 08719181503."
spam,"If you're eager for a steamy chat or more revealing interaction, text 'hot' to 69698. Each text costs 150p per minute. To cancel, text 'stop' to 69698."
ham,I wish u were here. I feel so alone
spam,Important message! Your 2003 account summary shows 800 unused S.I.M. points. Contact 08718738002 and use Identifier Code: 48922 by 21/11/04 for redemption.
spam,"Prompt response needed! A 4-star Costa Del Sol holiday or ?000 prize awaits you. Ring 09050090044 now to make your claim. Terms: SAE, TCs, POBox334, Stockport, SK38xh. Charging ?.50 per minute, with a 10-minute maximum."
ham,"No my blankets are sufficient, thx"
ham,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30
ham,Haha... can... But i'm having dinner with my cousin...
ham,at bruce b downs &amp; fletcher now
spam,"Hello 0776xxxxxxx: Here's your invite to XCHAT. Our final try to contact you! Message CHAT to 86688. 150p for each message received. HG/Suite342/2Lands/Row/W1J6HL London, for adults over 18."
ham,Let's pool our money together and buy a bunch of lotto tickets. If we win I get &lt;#&gt; % u get &lt;#&gt; %. Deal?
ham,"I am in tirupur da, once you started from office call me."
ham,Hi mom we might be back later than  &lt;#&gt;
ham,Anytime lor...
ham,"Call me. I m unable to cal. Lets meet bhaskar, and deep"
ham,"Ok. Not much to do here though. H&M Friday, cant wait. Dunno wot the hell im gonna do for another 3 weeks! Become a slob- oh wait, already done that!"
ham,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons?
spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
ham,I anything lor.
spam,"You're in luck! As a select winner, you're entitled to ?000 cash or a 4-star vacation (including flights). Contact a live operator at 0871277810810 to claim."
spam,"FreeMsg It's time to seize the day! I'm in the mood for some excitement and I reside in your local area. My passion lies in indulging in pleasurable activities of a sensual nature! Netcollex Ltd 08700621170150p per message. Respond with ""Stop"" to discontinue."
ham,"??we r stayin here an extra week, back next wed. How did we do in the rugby this weekend? Hi to and and , c u soon """
spam,07732584351 - Rodger Burns - MESSAGE: We attempted to contact you regarding your response to our SMS offering a free Nokia phone and camcorder. Call us back at 08000930705 to arrange next-day delivery.
spam,"Money awaits! You're a fortunate winner! To claim your prize, text ""MONEY"" to 88600. Over ? million is up for grabs! Ppt150x3 + normal text rate. Box 403, W1T1JY."
ham,I am not sure about night menu. . . I know only about noon menu
ham,Hi dear we saw dear. We both are happy. Where you my battery is low
spam,Customer Service Notification: You have a New Year's delivery awaiting collection. Please contact us at 07046744435 immediately to schedule your delivery.
spam,"Invitation from Natalie, a 20-year-old female, to be friends. Text YES-165 to agree, or NO-165 to decline. Her details at www.SMS.ac/u/natalie2k9. Stop messages with STOP FRND to 62468."
ham,"Lol, oh you got a friend for the dog ?"
spam,FREE entry into our Â£250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
spam,WIN URGENT! Your mobile number has been awarded with a Â£2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm
spam,Want to see my sizzling XXX pics? They're so hot that they nearly faced a ban in the UK!
ham,No b4 Thursday
spam,"No-Cost Game: Rayman Golf 4 is yours for free from the O2 Games Arcade. First, manage your game settings. Reply POST, save, and turn on. Press the '0' key for Arcade. Terms are applicable."
ham,Ok.ok ok..then..whats ur todays plan
ham,"Damn, can you make it tonight or do you want to just wait til tomorrow"
spam,Get a chance at a ?00 shopping spree. Call 08717895698 to check if you've won! Engage in MobStoreQuiz for just 10p every minute.
spam,"URGENT! Your mobile No *********** WON a Â£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362220 ASAP! BOX97N7QP, 150ppm"
spam,"Update from Dorothy@kiefer.com: Bank of Granite's latest Strong-Buy signal. An exhilarating pick for members, soaring over 300%! Check out Nasdaq Symbol CDGT, currently $5.00 per..."
ham,Hey gals...U all wanna meet 4 dinner at nÃ¬te?
ham,"Aight, let me know when you're gonna be around usf"
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room"
spam,"Immediate action required! Dial 09066612661 from a landline to claim your free 4-star luxury Costa Del Sol holiday or ?000 cash. Charge: 150 ppm. Terms and conditions apply, SAE: James 28, EH74RR."
ham,Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...
ham,No that just means you have a fat head
spam,Immediate action needed! We're offering 800 FREE flights to Europe. Call before September 10th and bring a friend along for free. Claim yours by calling 09050000555 now. Cost: 150ppm. Code: BA128NNFWFLY.
ham,If you r @ home then come down within 5 min
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a Â£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only
ham,Were trying to find a Chinese food place around here
ham,U guys never invite me anywhere :(
spam,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!
ham,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.
ham,Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?
ham,Ok
ham,I'm at home n ready...
spam,Mobile 10 months or older? Time for a free upgrade to the latest Camera/Video phones. Maintain your number and receive more free minutes/texts. Text YES to arrange a call.
ham,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you"
ham,Or ill be a little closer like at the bus stop on the same street
ham,NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?
spam,TBS/PERSOLVO. been chasing us since Sept forÂ£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.
ham,Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night
spam,"Beware of scams! For affordable mobile content, head to www.clubmoby.com or ring 08717509990. Get a mix of polyphonic and true tones, pictures, ringtones, games - six for only ?."
ham,"K, fyi I'm back in my parents' place in south tampa so I might need to do the deal somewhere else"
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan
spam,"Someone you know is making an effort to contact you via our dating service! To identify them, make a call from your mobile or landline to 09064015307. Don't forget to mention BOX334SK38ch."
ham,"Will do, you gonna be at blake's all night? I might be able to get out of here a little early"
spam,"Fancy a New Nokia 3510i Colour Phone arriving tomorrow? Includes 200 FREE minutes to any network, 100 FREE texts, and a camcorder. Answer or contact 08000930705."
spam,"Feel free to contact Amanda to discuss the possibility of renewing or upgrading your current T-Mobile device free of charge. Act quickly, as this limited-time offer concludes today. You can reach us at 0845 021 3680, subject to our terms and conditions."
ham,Hey they r not watching movie tonight so i'll prob b home early...
