Category,Original Message,Message 1,Message 2,Message 3,Message 4,Message 5
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,"SMS.ac Sports Update: The New Jersey Devils battle the Detroit Red Wings in Ice Hockey. True or False? To end, text END SPTV.","SMS.ac Sports Trivia: Do the New Jersey Devils and Detroit Red Wings compete in Ice Hockey? Confirm or Deny? To stop, send END SPTV.",Trivia SMS.ac: Are the New Jersey Devils and the Detroit Red Wings Ice Hockey teams? Yes or No? End service? Text END SPTV.,"SMS.ac Sports Check: The New Jersey Devils vs. the Detroit Red Wings is an Ice Hockey match-up. Is this statement right? To unsubscribe, text END SPTV.","SMS.ac Sptv Query: Ice Hockey is played by the New Jersey Devils and the Detroit Red Wings. Is this statement correct? If you wish to end, reply with END SPTV."
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!","Congratulations! You've won a one-year exclusive cinema pass for two. Dial 09061209465 instantly! See Superman V, Matrix3, StarWars3, and more, all FREE! bx420-ip4-5we. 150pm. Take advantage now!","Celebrate! A special one-year duo cinema pass is yours. Contact 09061209465 immediately! Enjoy Superman V, Matrix3, StarWars3, etc, absolutely FREE! bx420-ip4-5we. 150pm. Seize this opportunity!","Cheers! Secure your annual special cinema pass for two. Call 09061209465 this moment! Watch Superman V, Matrix3, StarWars3, and others for FREE! bx420-ip4-5we. 150pm. Don't be late!","Jubilation! A special cinema pass for two, valid for one year, awaits you. Ring up 09061209465 now! Includes Superman V, Matrix3, StarWars3, etc, all at no cost! bx420-ip4-5we. 150pm. Act quickly!","Kudos! Claim your special 12-month cinema pass for two. Make a call to 09061209465! Indulge in Superman V, Matrix3, StarWars3, and more totally FREE! bx420-ip4-5we. 150pm. Don't let this slip by!"
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589","As an esteemed patron, it's my pleasure to inform you that a recent assessment of your mobile number has resulted in a ?500 Bonus Prize for you. Please call 09066364589.","Valued customer, we're delighted to announce that after reviewing your mobile number, you've been selected to receive a ?500 Bonus Prize. Dial 09066364589 to claim.","Cherished customer, following a review of your mobile number, we're thrilled to bestow upon you a ?500 Bonus Prize. To claim, call 09066364589.","Dear customer, a recent review of your mobile number has qualified you for a ?500 Bonus Prize. We invite you to call 09066364589 to receive your award.","As a premium customer, please be advised that your mobile number has earned you a ?500 Bonus Prize. For details, contact 09066364589."
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","Immediate notice: You've won a free journey with EuroDisinc Trav, Aco&Entry41, or choose ?000. Claim by texting DIS to 87121. 18+, charges apply (see terms). LS1 3AJ.","Urgent: Claim your gratis EuroDisinc Trav trip, Aco&Entry41, or opt for ?000 cash. Text DIS to 87121 to redeem. Over 18s, fees apply (details on request). LS1 3AJ.","Prompt attention required: A gift of a EuroDisinc Trav voyage, Aco&Entry41, or ?000 is yours. To claim, text DIS to 87121. Adults only, additional costs apply. LS1 3AJ.","Immediate action needed: You're the recipient of an all-inclusive EuroDisinc Trav excursion, Aco&Entry41, or take ?000 instead. Text DIS to 87121 to claim. 18+ fees apply. LS1 3AJ.","Time-sensitive: You've been granted a no-cost EuroDisinc Trav getaway, Aco&Entry41, or a ?000 alternative. To claim, send DIS to 87121. For 18+, surcharges apply. LS1 3AJ."
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!","Have you caught wind of the latest ""Divorce Barbie""? She arrives complete with everything Ken owned!","Are you aware of the newly released ""Divorce Barbie""? She includes all of Ken's belongings!","Guess what? The new ""Divorce Barbie"" is out, and she's got all of Ken's possessions!","News flash: The ""Divorce Barbie"" has just hit the shelves, bringing along all Ken's assets!","Heard the buzz about the ""Divorce Barbie""? She's packed with every single one of Ken's items!"
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,Kindly contact our customer support at 0800 169 6031 from 10 am to 9 pm to claim your assured win of ?000 in cash or a ?000 prize!,"We urge you to reach out to our customer service at 0800 169 6031, available 10 am-9 pm, as you're the lucky winner of an assured ?000 cash or a prize worth ?000!",Contact our customer service team at 0800 169 6031 between 10 am and 9 pm to collect your confirmed prize of ?000 cash or a ?000 reward!,It's your lucky day! Call our customer care line at 0800 169 6031 from 10 am to 9 pm to secure your guaranteed ?000 cash or a ?000 prize.,Don't delay! Dial our customer service at 0800 169 6031 between 10 am and 9 pm to claim your guaranteed prize of ?000 in cash or even ?000!
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16","Collect your complimentary ringtone now. Just send ""MIX"" to 85069 for verification and enjoy tunes from Usher and Britney. FML, PO Box 5249, MK17 92H. Costs 450Ppw, 16+.","Your gratis ringtone is ready for pickup. Verify by texting ""MIX"" to 85069. Relish in hits from Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw, for ages 16 and up.","A free ringtone awaits you. Text the code ""MIX"" to 85069 to confirm. Features Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw, age 16+.","Secure your no-charge ringtone. Text ""MIX"" to 85069 for confirmation. Access tracks from Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw, must be over 16.","Your exclusive, free ringtone is ready. Text ""MIX"" to 85069 to claim it. Enjoy music by Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw, 16+ only."
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,"ATTENTION! We�ve been attempting to reach you. You are the confirmed winner of last weekend's draw for a ?000 prize. Please call 09064012160 with the Claim Code K52, valid for the next 12 hours only. 150ppm.","NOTICE! Your number was drawn last weekend, winning you a guaranteed ?000. Contact us at 09064012160, use Claim Code K52. This offer stands for 12 hours only, at 150ppm.","ALERT! We need to speak with you. You've been selected as the guaranteed recipient of a ?000 prize from last weekend's draw. Dial 09064012160 and quote Claim Code K52. Hurry, it's valid for just 12 hours. Rate: 150ppm.","URGENT! Our attempts to contact you concern last weekend's draw, where you've won a certain ?000. Call 09064012160, with Claim Code K52 within 12 hours. Rate: 150ppm.",CALL REQUIRED! You're our lucky winner of ?000 from the recent draw. Get in touch at 090640121
spam,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),"Congratulations, you have been handpicked to receive either ?000 or a 4-star vacation (including flights). Call a live agent to claim at 08712778109, 10p/min, for adults only.",You're the chosen winner! Opt between ?000 or a luxury 4-star getaway (flights included). Engage with our live representative to claim on 08712778109 at 10p/min (18+ only).,"Victory is yours! You're specially chosen to get ?000 or a 4-star holiday (flights included). To claim, converse with a live operator at 08712778109, 10p/min (18+).","Winner Alert! You've been exclusively selected to gain ?000 cash or a 4-star holiday (with flights). Speak to our live assistant to claim at 08712778109, 10p/min (only for 18+).","Triumph! You're the select recipient of ?000 or a premium 4-star holiday (flights included). Claim by talking to a live operator at 08712778109, 10p/min (must be 18 or older)."
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,"CONFIDENTIAL: The 2004 Statement for account 07742676969 indicates you have 786 Bonus Points awaiting redemption. To claim, dial 08719180248 with the Identifier Code: 45239.","EXCLUSIVE: For account number 07742676969, your 2004 Statement reveals 786 unclaimed Bonus Points. Please call 08719180248 and provide Identifier Code: 45239 to redeem.",PERSONAL NOTICE: Your 2004 Account Summary for 07742676969 has 786 Bonus Points uncollected. Call 08719180248 with Identifier Code: 45239 to redeem them.,PRIVATE MESSAGE: The account ending in 07742676969 has 786 Bonus Points from 2004 not yet redeemed. Claim them by calling 08719180248 with Code: 45239.,DISCREET ALERT: Your account 07742676969 from 2004 has accrued 786 Bonus Points. Redeem by calling 08719180248 with the Identifier Code: 45239.
spam,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM","IMMEDIATE ATTENTION NEEDED! Your mobile number won a ?000 Bonus Caller Prize on September 5, 2003. This is our last attempt to reach you! Please use a landline to call 09064019788, BOX42WR29C at a rate of 150p per minute.","FINAL NOTICE: Your mobile number is the recipient of a ?000 Bonus Caller Prize awarded on 09/05/03. Make sure to call us from a landline at 09064019788 BOX42WR29C, costing 150p per minute.","LAST CHANCE! We're awarding your Mobile No. a ?000 Bonus Caller Prize from 5th Sept '03. Contact us for the last time on 09064019788 BOX42WR29C via landline, rate: 150p/min.",ACTION REQUIRED! Your mobile number was selected for a ?000 Bonus Caller Prize on 05/09/03. This is our ultimate effort to reach you! Call 09064019788 BOX42WR29C from a landline at 150p/min.,"URGENT MESSAGE: On 5th September 2003, your mobile was chosen for a ?000 Bonus Prize. Please respond promptly by calling 09064019788 BOX42WR29C from a landline. The cost is 150p/min."
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,"Today, Vodafone users with numbers ending in 7548 qualify for a $350 prize. If this matches your number, dial 08712300220 and provide the claim code 4041. Standard call rates apply.",Vodafone numbers ending in 7548 have been chosen today to earn a $350 reward. Confirm your matching number by calling 08712300220 and mentioning claim code 4041. Normal rates apply.,"If your Vodafone number ends in 7548, you're in luck to get a $350 prize today. Call us at 08712300220 with the claim code 4041 to redeem. Standard call rates apply.","Vodafone customers with numbers ending in 7548, you've been selected for a $350 reward today. To claim, please phone 08712300220 and use the claim code 4041. Usual rates apply.","Attention Vodafone customers: Numbers ending in 7548 are set to receive a $350 bonus today. Match your number and call 08712300220, citing claim code 4041. Regular rates apply."
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,"Weekly Sunshine Quiz Question! Earn a premium Sony DVD player by knowing the Algarve's country. Text your answer to 82277. Cost: ?.50, Service Provider: Tyrone.","It's the Sunshine Quiz of the Week! Identify the country where the Algarve is located and win a high-end Sony DVD player. Reply to 82277. Charge: ?.50, courtesy of Service Provider Tyrone.","This Week's Sunshine Quiz! Guess which country is home to the Algarve and you could snag a Sony DVD player. Send your answer to 82277. Cost is ?.50 per text, Service Provider: Tyrone.","Answer the Sunshine Weekly Quiz! What country can you find the Algarve in? A Sony DVD player could be yours. Text the answer to 82277, costing ?.50. Service by Tyrone.","Quiz Time with Sunshine Weekly! Know the country that hosts the Algarve? You could win a Sony DVD player. Text your response to 82277. Fee: ?.50, by Service Provider Tyrone."
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,"Looking for a hookup tonight? For genuine Dogging spots delivered straight to your mobile, join the biggest Dogging Network in the UK by texting GRAVEL to 69888! Note: ec2a. 31p/message at 150p.",Interested in an adventure tonight? Get authentic Dogging locations sent directly to your phone. Text GRAVEL to 69888 and connect with the UK's premier Dogging Network! Cost: 31p per message at 150p.,"Craving excitement tonight? Receive real Dogging site details on your mobile. Enter the UK's foremost Dogging Network by sending GRAVEL to 69888! Notice: ec2a. Price: 31p per msg, 150p.","Seeking a thrill tonight? Obtain actual Dogging places straight to your device. Join the largest Dogging Network in the UK by messaging GRAVEL to 69888! Area: ec2a. Cost: 31p per message, 150p.","Desire a rendezvous tonight? Request authentic Dogging locales directly on your mobile. Be part of the UK's extensive Dogging Network by texting GRAVEL to 69888! Area code: ec2a. 31p for each message, priced at 150p."
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,"You will no longer receive messages from the chat service. To subscribe to Hardcore services at no cost, text GO to 69988. If unsuccessful, please Age Verify with your network and attempt once more.","There will be no further messages from the chat service. For complimentary Hardcore services, send GO to 69988. Should there be no response, Age Verification with your network is required before retrying.","Chat service messages will cease. Access Hardcore services for FREE by texting GO to 69988. In case of no reply, Age Verification with your provider is needed to proceed.","Your subscription to chat messages has ended. For Hardcore services without charge, text GO to 69988. If it fails, verify your age with your network provider and try again.","You won't receive further chat service texts. For Hardcore services at zero cost, text GO to 69988. If there's no result, complete Age Verification with your network and retry."
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end","Free Message: Why no response to my earlier text? It's Randy here, fun and flirty, and I'm just around the corner. Eager for a chat. Netcollex Ltd 08700621170150p for each reply, text Stop to unsubscribe.","Complimentary Msg: Still waiting on your reply! Randy's my name, playful and nearby. Awaiting a message from you. Netcollex Ltd at 08700621170150p/message, reply Stop to opt out.","No-Cost Message: Haven't seen your reply yet. I'm Randy, vivacious and local. Hoping to connect with you. Contact Netcollex Ltd at 08700621170150p per response, send Stop to cease.","Free Alert: Noticed you haven't texted back. I'm Randy, alluring, female, in your area. Let's chat soon. Netcollex Ltd 08700621170150p per message, reply Stop to cancel.","Gratis Msg: Missing your reply! I'm Randy, enchanting and nearby. Looking forward to your message. Netcollex Ltd at 08700621170150p/message, text Stop to stop."
spam,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,Customer Service Notification: You have a New Year's delivery awaiting collection. Please contact us at 07046744435 immediately to schedule your delivery.,Attention: A New Year's delivery is pending for you. Call us now on 07046744435 to confirm delivery arrangements.,"Service Alert: You have a parcel ready for New Year's. To arrange for its delivery, please call 07046744435 at your earliest convenience.",Notice from Customer Service: A special New Year's delivery is set for you. Promptly call 07046744435 to plan for its arrival.,"Delivery Update: There's a New Year's package with your name on it. For delivery details, please ring 07046744435 now."
spam,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,"Congratulations, you're a winner! You've been chosen to receive either ?000 in cash or a luxury 4-star holiday (flights included). Please speak with a live agent to claim your prize at 0871277810810.","You're in luck! As a select winner, you're entitled to ?000 cash or a 4-star vacation (including flights). Contact a live operator at 0871277810810 to claim.",Winning Alert! You've been exclusively selected for a ?000 cash prize or a 4-star getaway (flights covered). Claim by speaking to our live operator at 0871277810810.,Victory Call! You've been specially picked to claim either ?000 or enjoy a 4-star holiday (flights included). Engage with our live representative at 0871277810810 to claim.,"Prize Notification: You're a selected winner for either a ?000 cash reward or a premium 4-star holiday (flights included). To claim, converse with a live operator at 0871277810810."
spam,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,"Request to Cease: bootydelious (32/F) is asking to connect with you as a friend. Respond with YES-434 to accept or NO-434 to decline. Visit her profile at www.SMS.ac/u/bootydelious. To stop receiving these, text STOP FRND to 62468.",Invitation Alert: bootydelious (32/F) is reaching out for friendship. Reply YES-434 to join or NO-434 to refuse. Check her out at www.SMS.ac/u/bootydelious. Want to unsubscribe? Text STOP FRND to 62468.," Stop Request: bootydelious (32/F) is extending a friend request. To confirm, reply YES-434 or to reject, send NO-434. Her profile: www.SMS.ac/u/bootydelious. To opt out, send STOP FRND to 62468.","Friendship Prompt: bootydelious (32/F) invites you to connect. Say YES-434 to agree or NO-434 to decline. Profile: www.SMS.ac/u/bootydelious. To cancel these invites, text STOP FRND to 62468.","Connection Inquiry: bootydelious (32/F) would like to be friends. Accept with YES-434 or deny with NO-434. See more at www.SMS.ac/u/bootydelious. To stop, text STOP FRND to 62468."
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu","You will no longer receive messages from the chat service. To access Hardcore services for free, text GO to 69988. If you encounter issues, please Age Verify with your network and try once more.","Chat service messages will cease. For no-cost Hardcore services, send the word GO to 69988. In case of no response, ensure Age Verification with your network and attempt again.","Message Termination: You will not receive further messages from the chat service. Text GO to 69988 for complimentary Hardcore services. If it fails, verify your age with your network and retry.","Notice of Service Termination: No more chat service messages will be sent. For Free Hardcore services, text GO to 69988. Should there be no delivery, Age Verification with your network is required before retrying.","Subscription Update: Chat service messages have been stopped. For Hardcore services at zero charge, text GO to 69988. Failure to receive implies a need for Age Verification with your network, after which you should try again."
spam,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,"IMMEDIATE ACTION REQUIRED! Your number was drawn last weekend and you've won a confirmed prize of ?00. Please dial 09061701939, use claim code S89. This offer is valid for the next 12 hours only.","ATTENTION REQUIRED! We need to reach you regarding the recent draw where you've secured a ?00 prize. Contact us at 09061701939 with the code S89, valid today only.","IMPORTANT NOTICE! You are the winner of a ?00 prize from last weekend's draw. Claim your prize by calling 09061701939 with the claim code S89, within 12 hours.","ACTION NEEDED! Our records indicate you've won ?00 in our most recent draw. To claim, call 09061701939 with claim code S89, applicable for 12 hours.","URGENT COMMUNICATION: You have been awarded a ?00 prize. Confirm your winnings by calling 09061701939 with claim code S89. Hurry, the claim is valid for 12 hours only."
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,"Kindly contact our customer service on FREEPHONE 0808 145 4742, from 9 am to 11 pm, to claim your guaranteed winnings of either ?000 in cash or a ?000 prize!",We invite you to phone our customer service at FREEPHONE 0808 145 4742 anytime between 9 am and 11 pm to secure your confirmed cash prize of ?000 or an alternative ?000 reward.,Congratulations! Please reach out to our customer support at FREEPHONE 0808 145 4742 between 9 am and 11 pm for your assured ?000 cash prize or a grand ?000 prize.,Your luck is in! Call our customer service team on FREEPHONE 0808 145 4742 from 9 am to 11 pm to collect your certain prize of ?000 cash or perhaps a ?000 prize.,A call away to victory! Reach our customer service representatives on FREEPHONE 0808 145 4742 between 9 am and 11 pm to claim a definite ?000 cash or a ?000 prize.
